uid,病例数,新闻日期,省份,地级行政单位,Gaode_Lng,Gaode_Lat,province,city,citycode,adcode,level
831,1,2020/1/24,重庆,巫山,109.879153,31.074834,重庆市,重庆市,重庆市,500237,区县
832,1,2020/1/24,重庆,秀山,107.556177,29.846146,重庆市,重庆市,重庆市,500102,区县
833,1,2020/1/24,重庆,垫江,107.33339,30.327717,重庆市,重庆市,重庆市,500231,区县
834,1,2020/1/24,重庆,大渡口,106.485816,29.493427,重庆市,重庆市,重庆市,500104,区县
835,7,2020/1/25,重庆,万州区,108.408661,30.807667,重庆市,重庆市,重庆市,500101,区县
836,1,2020/1/25,重庆,大渡口区,106.482347,29.484527,重庆市,重庆市,重庆市,500104,区县
837,1,2020/1/25,重庆,九龙坡区,106.53192,29.51419,重庆市,重庆市,重庆市,500107,区县
838,2,2020/1/25,重庆,长寿,107.075388,29.832806,重庆市,重庆市,重庆市,500115,区县
839,2,2020/1/25,重庆,合川,106.0416633,30.1103627,重庆市,重庆市,重庆市,500117,区县
840,1,2020/1/25,重庆,永川,105.5786368,29.2526334,重庆市,重庆市,重庆市,500118,区县
841,2,2020/1/25,重庆,璧山,106.215689,29.575959,重庆市,重庆市,重庆市,500120,区县
843,1,2020/1/25,重庆,梁平,107.4650193,30.6540562,重庆市,重庆市,重庆市,500228,区县
844,1,2020/1/25,重庆,城口,108.2093669,31.9102242,重庆市,重庆市,重庆市,500229,区县
845,1,2020/1/25,重庆,丰都,107.730895,29.8635,重庆市,重庆市,重庆市,500230,区县
846,2,2020/1/25,重庆,忠县,108.039002,30.29956,重庆市,重庆市,重庆市,500233,区县
847,1,2020/1/25,重庆,云阳,108.685426,30.938237,重庆市,重庆市,重庆市,500235,区县
848,1,2020/1/25,重庆,巫溪,108.7766038,31.479863,重庆市,重庆市,重庆市,500238,区县
849,3,2020/1/25,重庆,石柱,107.723339,29.860878,重庆市,重庆市,重庆市,500230,区县
850,2,2020/1/25,重庆,两江新区,106.566022,29.642726,重庆市,重庆市,重庆市,[],区县
851,3,2020/1/26,重庆,万州,108.1126461,30.6954351,重庆市,重庆市,重庆市,500101,区县
852,2,2020/1/26,重庆,大渡口,106.485816,29.493427,重庆市,重庆市,重庆市,500104,区县
853,2,2020/1/26,重庆,江北,107.412514,29.760384,重庆市,重庆市,重庆市,500102,区县
854,2,2020/1/26,重庆,渝北,106.513719,29.585938,重庆市,重庆市,重庆市,500112,区县
855,1,2020/1/26,重庆,大足,105.721733,29.707032,重庆市,重庆市,重庆市,500111,区县
856,1,2020/1/26,重庆,铜梁,106.056404,29.844811,重庆市,重庆市,重庆市,500224,区县
857,2,2020/1/26,重庆,忠县,108.039002,30.29956,重庆市,重庆市,重庆市,500233,区县
858,2,2020/1/26,重庆,云阳,108.685426,30.938237,重庆市,重庆市,重庆市,500235,区县
859,2,2020/1/26,重庆,奉节,109.463987,31.018498,重庆市,重庆市,重庆市,500236,区县
860,1,2020/1/26,重庆,巫溪,108.7766038,31.479863,重庆市,重庆市,重庆市,500238,区县
861,1,2020/1/27,重庆,万州,108.1126461,30.6954351,重庆市,重庆市,重庆市,500101,区县
862,2,2020/1/27,重庆,大渡口,106.485816,29.493427,重庆市,重庆市,重庆市,500104,区县
